Entity,Code,Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Afghanistan,AFG,11,,3.0446815,2.8508673,0.8340187,-0.43823814,-1.3589106,-1.8335004,0.23090887,1.139965,-0.46471548,-1.0195508,-1.1253028,-0.53930855,-0.12255621,0.4858365,0.3915105,-0.3187375,-0.31731462,2.5039358,0.3602023,-0.7929497,2.4016638,-1.6322393,0.8026738,1.3860569,-1.726696,-0.5403342,1.7037134,-1.4073586,-2.798894,0.76510906,3.0665264,0.35913658,0.95290565,-0.55176497,1.0470672,-0.29228973,1.8531122,0.8996911,-0.4613247,-0.044075012,0.9001508,1.1139431,-2.9293578,0.054231644,1.0127177,-2.0575948,-2.1735153,0.8362417,-2.6550863,-2.4197161,-1.0899897,0.46480894,0.90650415,1.2990866,0.37368107,-2.294004,-0.6129079,0.025781631,-3.1575541,0.65482473,-1.183023,-0.63419867,-3.2454011,-2.2148237,-2.1910105,-2.3049688,-3.0647962,-2.4594445,0.1708231,1.6767149,-1.520267,-1.8293066,-1.8030148,0.3146739,-2.7527382
Afghanistan,AFG,12,,-0.9731999,3.105437,0.2301991,1.9447124,-2.0448747,0.99059486,1.3902056,0.42295396,3.3385985,-0.5900892,0.086660385,-1.2117879,-1.6392095,-2.1457632,0.23251343,-0.6314837,0.2278409,-1.7043953,-2.3185697,0.83327675,0.3486265,-0.5319451,-0.87193584,2.377665,0.52096844,0.802639,4.539094,-1.2834713,-0.08118814,-2.5878167,-1.2355869,0.85323226,0.8772652,1.0359817,-1.0409335,0.8331677,2.1132133,2.5536265,-2.0488925,-0.8523274,-3.4660695,-1.3334187,-3.2428105,0.85476196,1.1780674,0.01855576,2.4731493,1.1393235,-1.5308625,-1.2989964,-2.5494957,-1.8971488,-2.9774346,2.916618,0.17778122,2.0927036,-1.043028,-1.6412436,0.10995352,-1.7903757,-4.523904,-1.2689548,-1.910557,-1.1609442,-1.549722,-4.0442677,0.92463267,-0.84456855,-0.6997496,0.22527218,-1.4629848,0.20668817,-2.6866674,1.9827988,-4.324622
Africa (NIAID),,1,0.98114586,1.1762486,0.4344597,-0.0137348175,0.98433304,0.026842117,0.41004944,0.080150604,0.19976044,0.76646614,-0.3119068,0.7451782,0.5256996,-0.3680992,0.055339813,1.1268044,0.39367294,-0.6423149,-0.06056404,0.30257416,-0.26228905,0.35006523,0.41366386,-0.6911526,-0.3781376,-0.38375854,-0.15164185,-0.081855774,0.22418404,0.54255486,-0.57637787,-0.19611359,-1.0866604,-0.73752785,-0.23456192,-0.08043671,-1.6141891,0.10297966,-0.14274406,-0.66183853,0.29867935,-0.95898247,-1.3512459,-0.14541626,-1.2087917,0.08470726,0.18404007,-0.49320602,-0.3185463,-1.2634335,-1.3847675,-1.3382549,-0.18970108,-0.68805313,-0.7779026,0.30981636,-0.32592773,-1.2626457,-1.3524151,-0.115219116,-0.9458313,-1.0082474,-0.42590904,-1.1075058,-0.58662224,-0.8875599,-0.7502003,-0.1403389,-1.7972088,-1.2025089,-0.5492592,-1.2674389,-0.9921093,-0.9017315,-1.1122074,-1.1863079
Africa (NIAID),,2,0.6434803,1.1964455,0.22910309,-0.050203323,0.24629593,0.50763893,0.10450554,0.732399,0.17288208,0.88760376,0.5173702,0.029302597,0.3744831,-0.397892,0.0069789886,1.8073845,0.21455574,-0.64188385,0.48503113,0.36454773,0.9216423,-0.021375656,0.18048286,-0.07601547,-0.83080673,-1.1558971,-0.21831322,0.5893707,-1.0583153,-0.080545425,-0.4780693,-0.79888344,-1.1865616,-0.7553005,-0.19635391,-0.67017746,-1.6222725,0.102903366,0.18982506,-0.13894463,-0.75195694,-0.74184036,-0.06738281,-0.9629688,-0.89440346,-0.34737587,-0.25842285,-0.07722092,-0.679615,-1.7314701,-0.97273445,-1.1940174,-0.0022621155,-0.9378967,-1.0391216,-0.31755447,0.3610134,-0.9031391,-1.0102043,-0.83382034,-1.0298805,-0.9268017,-0.2224598,-1.3703575,-1.7618332,-0.55665016,-1.7001495,-0.7500591,-1.7856903,-0.5899334,-0.8587036,-0.89322853,-1.2820034,-1.7251701,-1.3338146,-1.639555
Africa (NIAID),,3,1.085825,1.7581329,0.6536503,-0.07772255,0.095890045,0.5585346,0.50681686,0.5727539,0.390419,0.9450779,0.11281586,-0.06451225,0.9741707,-0.4688816,0.19025612,0.80391884,-0.06869316,0.08624649,0.051481247,-0.078042984,0.50097084,-0.14320755,-0.24961472,0.024345398,0.20755005,-0.7172737,-0.30062103,-0.38947487,-0.92601204,-0.38324738,-0.3357582,-0.26940536,-0.7005844,-0.5126724,-0.31731987,-0.7139225,-1.0360641,-0.11194801,-0.12071228,-0.79558563,-0.3815651,-0.34610176,-0.48620033,-0.7727108,-0.4714222,-0.42453384,-0.5410385,-0.8822746,-1.2980576,-1.6533508,-1.344904,-1.378582,-0.50180054,-1.1012917,-0.38176155,-0.7501106,0.40828896,-1.4747124,-1.5262699,-1.2316437,-1.0824966,-0.0069026947,-1.55159,-0.76262665,-1.5467529,-1.0957355,-0.9283943,-0.3097744,-1.6244392,-1.2257996,-1.3523006,-0.8738289,-2.1740952,-1.1282578,-0.81394196,-1.9942207
Africa (NIAID),,4,,1.2767658,0.39913368,0.5448494,0.5560055,0.63036346,0.44362068,0.08911705,0.40449524,1.195034,-0.248415,0.14090538,0.030534744,-0.013563156,-0.023324966,1.0794888,-0.046850204,-0.4055729,0.24925995,-0.0429039,0.33953285,-0.296381,0.112854004,-0.13360596,-0.19702339,-0.049095154,-0.12689018,1.0050831,-1.2839031,-0.7230091,-0.5509243,-0.2636528,-0.35396957,-0.53011894,-0.43109512,-0.1118412,-0.7298641,0.07208061,-0.2879486,-0.3500824,-1.3413486,-0.38745117,-0.023649216,-0.8527641,-0.4289627,-0.2728939,-0.7337551,-0.9421196,-1.1055241,-1.3885632,-0.9833393,-1.3205986,-0.522686,-1.1208992,-0.97086143,-0.77017784,-0.89697266,-1.3332443,-1.2011738,-0.7900543,-1.6159897,-1.0035782,-1.0406723,-1.2262764,-0.74386215,-1.1942558,-0.70783997,-0.38586044,-1.6189461,-1.530901,-1.5859337,-1.4293919,-1.3588161,-1.612812,-1.2617264,-1.7278576
Africa (NIAID),,5,,1.595398,0.53982353,0.3216648,0.5745125,0.5492687,0.7674084,0.2466507,0.70214844,0.4276638,0.55975723,0.13723755,0.29207802,0.14491653,-0.05390358,0.45071793,-0.23740387,-0.15880013,0.07222366,-0.4226532,0.12885284,-0.25312614,0.12100792,0.039762497,-0.19407082,-0.29453087,-0.06375313,0.32180405,-0.77272415,-0.17069244,-0.16724968,-0.30316162,-0.3734169,-0.6958122,-0.80021477,-0.4315815,-0.6712837,-0.10297394,0.22727966,-0.56064606,-0.9995346,-0.4494648,0.10827446,-1.175497,-0.88876915,-0.6437607,-0.91427803,-0.77023125,-0.9057503,-1.4557304,-1.192852,-1.4122353,-0.39787292,-1.3781319,-1.0702877,-0.6825676,-0.7229252,-1.2576733,-1.0001411,-0.6776047,-0.9700775,-0.5991268,-1.6872616,-1.1803265,-0.42318344,-1.264019,-0.9445858,-0.76013374,-1.4778118,-1.3417397,-1.2330647,-0.8794327,-1.3199501,-1.3154507,-1.0692863,-2.2280731
Africa (NIAID),,6,,1.3806114,0.57715607,0.28699684,0.67560387,0.5852108,0.44483376,0.30903625,0.6639271,0.5622711,0.23838806,0.2951603,0.115550995,0.17865753,0.07712555,0.30275536,0.4383602,-0.14901733,-0.16449928,-0.04557419,0.040950775,-0.36846924,-0.16859436,-0.30311775,-0.36849785,-0.37394714,0.058351517,0.18383408,-0.0173378,-0.8101311,0.050058365,-0.6648464,-0.30282402,-0.50811386,-0.29951286,0.03881836,-0.4155674,-0.15816116,-0.5642185,-0.8055649,-0.6834698,-0.88568306,-0.2601757,-0.5433216,-0.58403206,-0.6227989,-0.914402,-1.1515064,-0.8300381,-1.2428112,-1.1766815,-0.944973,-0.41620064,-1.2390518,-0.99604225,-0.5845337,-0.42869186,-1.4591084,-1.0276928,-0.073604584,-0.9360771,-0.63461876,-0.776268,-1.1286068,-0.5952072,-0.8457756,-0.5567627,-0.9215412,-1.3770447,-1.1566277,-1.342411,-1.4158859,-1.5492592,-0.97637177,-1.1573067,-1.3320789
Africa (NIAID),,7,,1.065918,1.1365547,0.29146385,0.36515236,0.17038536,0.7082157,0.4618492,0.5377598,0.17918205,0.7000141,0.4595394,0.069849014,0.008256912,0.1537571,0.24817467,0.19061661,-0.05126953,-0.18323326,0.17463112,0.09111786,-0.31394577,-0.11607361,0.5717964,-0.3199482,-0.38772583,-0.29998398,0.11128998,-0.13487625,-0.7263012,-0.19648361,-0.6852207,-0.22191238,-0.76711464,-0.4323597,-0.41747665,-0.538929,-0.28583717,0.2630844,-0.8204098,-1.089077,-0.8485031,-0.07475662,-0.627203,-0.8747387,-0.797245,-0.8395157,-1.2469769,-0.66778564,-1.197586,-1.2874641,-1.4935379,-0.5245552,-0.49712944,-1.0881519,-0.7406368,-1.0735874,-0.98478127,-1.0410995,0.26462746,-0.13713837,-0.6284275,-0.6415062,-0.4892025,-0.96777153,-1.1251945,-0.6994934,-1.0064907,-0.82380867,-1.4029083,-1.0120506,-1.5890751,-1.2315788,-1.012188,-0.9722214,-1.5670757
Africa (NIAID),,8,,0.5368252,1.1285439,0.2127533,0.62059975,0.21729279,0.49000168,0.23662949,0.41752052,0.3840351,0.8348789,0.30018997,-0.19739914,0.085653305,-0.10333252,0.23911095,0.19278908,0.057247162,-0.18752861,0.060094833,0.26940155,0.1167469,-0.30709648,0.2265091,-0.02699089,-0.47691154,-0.3903618,0.047052383,0.07559967,-0.32538414,0.16595459,-0.5229168,-0.3898239,-0.8905144,-0.5984421,-0.3901348,-0.41963196,-0.49460602,0.05639839,-0.31695938,-0.7510166,-0.5063553,-0.5526886,-0.6711445,-0.85256386,-0.6096592,-0.4500122,-0.8129902,-0.84321976,-1.3431358,-1.466898,-1.2099495,-0.96541977,-0.6864872,-1.3241711,-0.79642105,-0.7989788,-0.6082325,-1.1142311,-0.13194275,-0.51543427,-1.2050419,-0.7299099,-1.1552105,-1.4013176,-0.5521736,-1.2449741,-1.1631088,-0.9203644,-1.469717,-1.1475296,-1.6879444,-1.4038525,-1.175766,-0.7875805,-1.9652328
