Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
World,OWID_WRL,1910,-0.32284963,-0.36686406,-0.26654148
World,OWID_WRL,1911,-0.32403946,-0.3720959,-0.26676926
World,OWID_WRL,1912,-0.18767281,-0.23767884,-0.12764552
World,OWID_WRL,1913,-0.22200237,-0.27381197,-0.16538686
World,OWID_WRL,1914,-0.07668262,-0.12811248,-0.006642635
World,OWID_WRL,1915,0.036171634,-0.018284665,0.10988142
World,OWID_WRL,1916,-0.15248811,-0.20910703,-0.080721565
World,OWID_WRL,1917,-0.19764891,-0.25341165,-0.12477674
World,OWID_WRL,1918,-0.15158421,-0.20981373,-0.07232837
World,OWID_WRL,1919,-0.10713538,-0.16634211,-0.021364545
World,OWID_WRL,1920,-0.025855238,-0.08522048,0.055464562
World,OWID_WRL,1921,-0.0006103751,-0.058592938,0.09213462
World,OWID_WRL,1922,-0.08244115,-0.1392907,0.00602071
World,OWID_WRL,1923,-0.057474367,-0.11709166,0.03345582
World,OWID_WRL,1924,-0.051502556,-0.11018036,0.044546537
World,OWID_WRL,1925,-0.00853667,-0.06723077,0.07853443
World,OWID_WRL,1926,0.116668135,0.05620612,0.20761177
World,OWID_WRL,1927,0.043089185,-0.017200092,0.14046223
World,OWID_WRL,1928,0.010756825,-0.0502726,0.11063441
World,OWID_WRL,1929,-0.058500018,-0.12144427,0.03827959
World,OWID_WRL,1930,0.094915785,0.031986035,0.19882542
World,OWID_WRL,1931,0.14997156,0.083913766,0.24660556
World,OWID_WRL,1932,0.066905715,0.0033754397,0.17193702
World,OWID_WRL,1933,-0.005461596,-0.06520247,0.08947272
World,OWID_WRL,1934,0.050465807,-0.008469437,0.1422393
World,OWID_WRL,1935,0.045152042,-0.012289626,0.14881168
World,OWID_WRL,1936,0.08471716,0.025416438,0.16887844
World,OWID_WRL,1937,0.22485797,0.16489686,0.31691664
World,OWID_WRL,1938,0.14470102,0.086271726,0.23530605
World,OWID_WRL,1939,0.15658718,0.09173575,0.2507162
World,OWID_WRL,1940,0.24539724,0.16573448,0.3459031
World,OWID_WRL,1941,0.2556546,0.031358678,0.47453716
World,OWID_WRL,1942,0.29966262,0.06874002,0.5141241
World,OWID_WRL,1943,0.294882,0.063383095,0.5093803
World,OWID_WRL,1944,0.4492407,0.22050749,0.6641299
World,OWID_WRL,1945,0.4461924,0.2153041,0.65994436
World,OWID_WRL,1946,0.17016548,0.022114534,0.3096728
World,OWID_WRL,1947,0.10829048,-0.046273183,0.23501016
World,OWID_WRL,1948,0.1221,-0.02799592,0.25160682
World,OWID_WRL,1949,0.13656013,0.012399189,0.24637929
World,OWID_WRL,1950,0.11907302,0.016678272,0.22425069
World,OWID_WRL,1951,0.22131547,0.14334606,0.32326508
World,OWID_WRL,1952,0.31631616,0.24859978,0.4229454
World,OWID_WRL,1953,0.33068496,0.262981,0.4256235
World,OWID_WRL,1954,0.14438254,0.07518147,0.23213437
World,OWID_WRL,1955,0.069451414,0.0002751786,0.14892948
World,OWID_WRL,1956,0.05625808,-0.013794002,0.13422199
World,OWID_WRL,1957,0.26090115,0.19555198,0.32678235
World,OWID_WRL,1958,0.28382623,0.21840668,0.3543932
World,OWID_WRL,1959,0.22702752,0.1713769,0.30242234
World,OWID_WRL,1960,0.18562378,0.1328021,0.24690779
World,OWID_WRL,1961,0.23609976,0.19107153,0.29739106
World,OWID_WRL,1962,0.18119821,0.14002997,0.2305487
World,OWID_WRL,1963,0.22842085,0.18608992,0.28652972
World,OWID_WRL,1964,0.020310076,-0.022287453,0.076880075
World,OWID_WRL,1965,0.056117773,0.013525859,0.110318236
World,OWID_WRL,1966,0.16674942,0.1242026,0.21629101
World,OWID_WRL,1967,0.10692678,0.06857164,0.15116318
World,OWID_WRL,1968,0.1085558,0.08060009,0.14290178
World,OWID_WRL,1969,0.27350163,0.24887732,0.30345693
World,OWID_WRL,1970,0.16430452,0.14312653,0.18770207
World,OWID_WRL,1971,0.005548208,-0.015424695,0.026867898
World,OWID_WRL,1972,0.24144687,0.22142147,0.26176992
World,OWID_WRL,1973,0.27255782,0.25265262,0.2947831
World,OWID_WRL,1974,0.11619609,0.09384643,0.13581012
World,OWID_WRL,1975,0.10941788,0.08515966,0.13057701
World,OWID_WRL,1976,0.13013922,0.10669842,0.15066046
World,OWID_WRL,1977,0.33981153,0.31866568,0.3590991
World,OWID_WRL,1978,0.2821734,0.25929707,0.30200082
World,OWID_WRL,1979,0.39987186,0.3749378,0.41779545
World,OWID_WRL,1980,0.39489678,0.37124044,0.4109655
World,OWID_WRL,1981,0.36901453,0.34349293,0.3842671
World,OWID_WRL,1982,0.35152853,0.3270489,0.36763194
World,OWID_WRL,1983,0.44657654,0.42279536,0.46421176
World,OWID_WRL,1984,0.31424874,0.29023492,0.33189204
World,OWID_WRL,1985,0.29801524,0.27471483,0.31742543
World,OWID_WRL,1986,0.3273202,0.30411166,0.3473993
World,OWID_WRL,1987,0.48357424,0.4603583,0.50489837
World,OWID_WRL,1988,0.45819965,0.43612704,0.47899655
World,OWID_WRL,1989,0.4158843,0.39242285,0.436912
World,OWID_WRL,1990,0.5414753,0.51812416,0.56228346
World,OWID_WRL,1991,0.52147496,0.4965006,0.54121166
World,OWID_WRL,1992,0.4234157,0.39856222,0.4427874
World,OWID_WRL,1993,0.4531288,0.42899352,0.47292355
World,OWID_WRL,1994,0.49285683,0.46799973,0.5139645
World,OWID_WRL,1995,0.54897434,0.5228927,0.5700584
World,OWID_WRL,1996,0.48799753,0.46150184,0.508607
World,OWID_WRL,1997,0.66995555,0.64297885,0.6906027
World,OWID_WRL,1998,0.7590796,0.73221743,0.7803057
World,OWID_WRL,1999,0.5237421,0.49756294,0.54454595
World,OWID_WRL,2000,0.52877486,0.5022987,0.5496795
World,OWID_WRL,2001,0.6398127,0.6138033,0.661635
World,OWID_WRL,2002,0.68132573,0.65457624,0.70246387
World,OWID_WRL,2003,0.70751846,0.68123466,0.7287456
World,OWID_WRL,2004,0.68603146,0.6599332,0.7075975
World,OWID_WRL,2005,0.6972173,0.6713487,0.71851933
World,OWID_WRL,2006,0.6736037,0.64801925,0.6942931
World,OWID_WRL,2007,0.6085993,0.5827993,0.6289821
World,OWID_WRL,2008,0.5818713,0.5567808,0.60273176
World,OWID_WRL,2009,0.73146224,0.7065487,0.75221026
World,OWID_WRL,2010,0.7358095,0.71125364,0.7557657
World,OWID_WRL,2011,0.628909,0.6039666,0.64985836
World,OWID_WRL,2012,0.6997647,0.6738867,0.7205823
World,OWID_WRL,2013,0.7255189,0.69954056,0.7468845
World,OWID_WRL,2014,0.82741886,0.80190635,0.84786797
World,OWID_WRL,2015,0.95313835,0.9283285,0.97312284
World,OWID_WRL,2016,0.971983,0.9467998,0.9913942
World,OWID_WRL,2017,0.8953552,0.87008244,0.9149649
World,OWID_WRL,2018,0.8587926,0.8331804,0.8775546
World,OWID_WRL,2019,0.95236444,0.926217,0.9711923
World,OWID_WRL,2020,0.94831026,0.92193574,0.96665007
World,OWID_WRL,2021,0.8714888,0.8450716,0.8896977
World,OWID_WRL,2022,0.9209916,0.8935597,0.9396138
World,OWID_WRL,2023,1.1727471,1.1450604,1.1910019
World,OWID_WRL,2024,1.1951554,1.1673468,1.2139721
World,OWID_WRL,2025,1.0913761,1.0629759,1.1120696
