Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
Northern Hemisphere,,1930,0.12437393,0.051833827,0.2323975
Northern Hemisphere,,1931,0.14494543,0.06836129,0.24671097
Northern Hemisphere,,1932,0.03096062,-0.04296503,0.13563004
Northern Hemisphere,,1933,-0.0024786135,-0.07145405,0.094889715
Northern Hemisphere,,1934,-0.0037946585,-0.07203849,0.09314256
Northern Hemisphere,,1935,0.026561158,-0.039376263,0.12259818
Northern Hemisphere,,1936,0.112782486,0.04384299,0.2053499
Northern Hemisphere,,1937,0.2477398,0.17979789,0.34256807
Northern Hemisphere,,1938,0.1127916,0.044361066,0.20555085
Northern Hemisphere,,1939,0.07636076,0.00431577,0.17539288
Northern Hemisphere,,1940,0.14376351,0.057964318,0.25629756
Northern Hemisphere,,1941,0.19087256,-0.033741854,0.410204
Northern Hemisphere,,1942,0.30646157,0.074424766,0.5171089
Northern Hemisphere,,1943,0.26421884,0.03293304,0.47500843
Northern Hemisphere,,1944,0.39756462,0.1682149,0.6089178
Northern Hemisphere,,1945,0.41085753,0.18192743,0.62093323
Northern Hemisphere,,1946,0.20521252,0.06180484,0.3530319
Northern Hemisphere,,1947,0.09865653,-0.047940355,0.2256229
Northern Hemisphere,,1948,0.14024997,0.0038375715,0.2616791
Northern Hemisphere,,1949,0.10695899,0.0017011913,0.21759053
Northern Hemisphere,,1950,0.1290547,0.04097457,0.21458904
Northern Hemisphere,,1951,0.29183766,0.22563086,0.36686605
Northern Hemisphere,,1952,0.29318008,0.2348241,0.37100083
Northern Hemisphere,,1953,0.30073547,0.24015272,0.3742029
Northern Hemisphere,,1954,0.14143923,0.07785165,0.21246922
Northern Hemisphere,,1955,0.0791071,0.014022191,0.1470644
Northern Hemisphere,,1956,0.010252611,-0.056833927,0.0782273
Northern Hemisphere,,1957,0.2291455,0.16225867,0.29043072
Northern Hemisphere,,1958,0.31094164,0.25014564,0.37604478
Northern Hemisphere,,1959,0.21880598,0.16542988,0.28572974
Northern Hemisphere,,1960,0.17627771,0.12679607,0.23174669
Northern Hemisphere,,1961,0.1945644,0.15295011,0.24679936
Northern Hemisphere,,1962,0.14468923,0.10710967,0.18654552
Northern Hemisphere,,1963,0.23286793,0.19313449,0.2874403
Northern Hemisphere,,1964,0.03940077,-0.0029031835,0.09543674
Northern Hemisphere,,1965,0.016938398,-0.026234634,0.07115229
Northern Hemisphere,,1966,0.20722294,0.16328542,0.25900668
Northern Hemisphere,,1967,0.14218715,0.104048446,0.18907167
Northern Hemisphere,,1968,0.10944857,0.08415476,0.1416705
Northern Hemisphere,,1969,0.1819261,0.1591552,0.20735992
Northern Hemisphere,,1970,0.08632176,0.06812423,0.104863554
Northern Hemisphere,,1971,-0.10712941,-0.12552944,-0.0880481
Northern Hemisphere,,1972,0.064078175,0.045195084,0.08224831
Northern Hemisphere,,1973,0.11993838,0.0996945,0.1410695
Northern Hemisphere,,1974,-0.016938511,-0.039413933,0.001986024
Northern Hemisphere,,1975,-0.017919995,-0.04170418,0.0024175702
Northern Hemisphere,,1976,-0.008955159,-0.031437024,0.011289087
Northern Hemisphere,,1977,0.2038451,0.18226393,0.22323686
Northern Hemisphere,,1978,0.19038413,0.16723077,0.2105542
Northern Hemisphere,,1979,0.2840196,0.25875443,0.30368477
Northern Hemisphere,,1980,0.28577912,0.2616418,0.30149147
Northern Hemisphere,,1981,0.28982207,0.26399902,0.30460694
Northern Hemisphere,,1982,0.26362824,0.23968014,0.2796305
Northern Hemisphere,,1983,0.29785812,0.27540022,0.316195
Northern Hemisphere,,1984,0.15799606,0.13617592,0.17695853
Northern Hemisphere,,1985,0.11345212,0.09126526,0.13360967
Northern Hemisphere,,1986,0.19117457,0.16834532,0.21188682
Northern Hemisphere,,1987,0.3481504,0.3251628,0.3695188
Northern Hemisphere,,1988,0.3531859,0.33056754,0.3732414
Northern Hemisphere,,1989,0.32743335,0.30405098,0.34710416
Northern Hemisphere,,1990,0.50277096,0.4794844,0.5222232
Northern Hemisphere,,1991,0.45312962,0.4293178,0.47177547
Northern Hemisphere,,1992,0.32731834,0.3034676,0.34632128
Northern Hemisphere,,1993,0.34003976,0.31637374,0.35933778
Northern Hemisphere,,1994,0.4684192,0.4438228,0.48932353
Northern Hemisphere,,1995,0.53980166,0.51409876,0.5612874
Northern Hemisphere,,1996,0.4085863,0.38283786,0.42997763
Northern Hemisphere,,1997,0.6282771,0.6027276,0.6497553
Northern Hemisphere,,1998,0.70305914,0.6771654,0.7242577
Northern Hemisphere,,1999,0.46599036,0.4405058,0.4873102
Northern Hemisphere,,2000,0.48953357,0.46432394,0.5106821
Northern Hemisphere,,2001,0.59057623,0.5654542,0.6122254
Northern Hemisphere,,2002,0.6211844,0.596597,0.64296424
Northern Hemisphere,,2003,0.6973475,0.67287993,0.719487
Northern Hemisphere,,2004,0.71302545,0.6880036,0.73540413
Northern Hemisphere,,2005,0.7197643,0.69439465,0.7423095
Northern Hemisphere,,2006,0.67986774,0.65467185,0.7018557
Northern Hemisphere,,2007,0.6240861,0.59879243,0.64575064
Northern Hemisphere,,2008,0.5972991,0.5729294,0.61969876
Northern Hemisphere,,2009,0.6846681,0.6599495,0.70617354
Northern Hemisphere,,2010,0.7200465,0.69567955,0.74143237
Northern Hemisphere,,2011,0.57997066,0.5553321,0.60115683
Northern Hemisphere,,2012,0.6907528,0.6658007,0.7116985
Northern Hemisphere,,2013,0.7216537,0.6968762,0.7428098
Northern Hemisphere,,2014,0.87744457,0.85277134,0.89804417
Northern Hemisphere,,2015,1.0265428,1.0023441,1.047645
Northern Hemisphere,,2016,1.0192856,0.9948851,1.0397364
Northern Hemisphere,,2017,0.9464033,0.92190295,0.96717525
Northern Hemisphere,,2018,0.8956992,0.87080705,0.91614187
Northern Hemisphere,,2019,1.0249951,1.0000237,1.0461363
Northern Hemisphere,,2020,1.0964563,1.0706058,1.1172131
Northern Hemisphere,,2021,0.94553584,0.9192466,0.9663591
Northern Hemisphere,,2022,0.9858953,0.95832074,1.006525
Northern Hemisphere,,2023,1.2366055,1.2086289,1.2574372
Northern Hemisphere,,2024,1.3019115,1.2736399,1.3229865
Northern Hemisphere,,2025,1.0608047,1.0295211,1.0850905
Southern Hemisphere,,1850,-0.06482447,-0.115616985,-0.01649957
Southern Hemisphere,,1851,0.044975813,-0.0041303844,0.095657006
Southern Hemisphere,,1852,-0.005877769,-0.053173847,0.041742966
Southern Hemisphere,,1853,-0.025750512,-0.06716604,0.019751979
Southern Hemisphere,,1854,-0.104074426,-0.1443726,-0.061687976
Southern Hemisphere,,1855,-0.06390642,-0.10464958,-0.020847032
Southern Hemisphere,,1856,-0.01089483,-0.049169485,0.030650232
Southern Hemisphere,,1857,-0.19992451,-0.23686531,-0.16128948
Southern Hemisphere,,1858,-0.12115818,-0.15480673,-0.08215178
Southern Hemisphere,,1859,0.00069055567,-0.03168587,0.039471783
Southern Hemisphere,,1860,0.04541614,0.013336276,0.08414349
Southern Hemisphere,,1861,-0.13794424,-0.17160946,-0.098984815
